Year,precipitations (cm),
1900,12.53,
1901,13.15,
1902,12.74,
1903,11.15,
1904,11.74,
1905,11.49,
1906,10.94,
1907,12.06,
1908,11.52,
1909,12.34,
1910,13.29,
1911,12.48,
1912,11.38,
1913,10.96,
1914,11.62,
1915,11.61,
1916,12.55,
1917,12.00,
1918,11.75,
1919,11.22,
1920,11.07,
1921,12.09,
1922,11.62,
1923,11.53,
1924,11.43,
1925,11.78,
1926,11.79,
1927,12.58,
1928,11.53,
1929,11.75,
1930,11.76,
1931,10.88,
1932,10.35,
1933,11.20,
1934,12.07,
1935,10.81,
1936,10.43,
1937,11.21,
1938,10.49,
1939,10.84,
1940,10.79,
1941,10.77,
1942,11.44,
1943,11.94,
