years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1899,2.2,1.7,8.6,13.6,18.2,21.6,20.9,20.7,17.9,12.8,7.2,3.5
1900,3.9,4,8.9,13,18.2,22.5,21.2,20.8,18.1,13.1,7.4,3.6
1901,4.2,4,8.4,13.5,18.9,22.8,21.9,21,18,13.1,7.6,3.6
1902,3.2,4.9,7.9,14.3,19,23.1,20.7,20.6,17.6,12.8,7.4,3.6
1903,3.3,1.9,7.4,13.7,17.4,19.2,21.4,20.4,17.8,12.5,7.3,3.4
1904,2.9,7.2,10.2,13.8,18.2,20.8,20.7,20.1,17.4,12.6,6.7,3.4
1905,3.1,1.7,8.8,13,18.3,21.3,20.4,20.5,18,12.6,7.2,2.1
1906,2.9,4.1,7.9,13.5,18.1,21.6,20,19.3,17.7,12.3,6.5,4.8
1907,5.3,7,10.3,13.6,16.8,20.9,20.9,20.7,18,12.8,6.3,4.1
1908,3.4,4.8,10,13.6,17.9,21.6,20.2,19.8,17.5,12.6,7,4.2
1909,5.3,5.7,8.2,13.7,17.9,22,21.6,20.3,17.6,12.9,8,2.3
1910,3.8,3.9,10.4,13.7,18.4,22.1,22.1,21.1,18.4,12.8,7.6,4
1911,5.6,5.1,9.7,13.6,18.3,21.6,20.8,20.7,18.6,12.8,6.4,2.5
1912,3.2,3.2,7.6,13.2,18.4,20.7,21.3,20.4,17.4,12.6,6.8,2.6
1913,2.5,3.4,7.1,13.3,18.6,19.8,20.9,20.2,17,12.5,7.6,2.8
1914,5.1,4.3,7.4,13.7,18.3,20.7,21,20,17.7,12.7,7.4,2.6
1915,2.4,4.9,5.9,13.4,17.8,21.9,21.3,19.7,17.8,12.8,7.4,4
1916,5.3,7,10.2,13.5,18.7,23.3,21,19.7,17.5,12.8,6.6,3.3
1917,3.7,6,7.8,13.5,17.1,21.6,21.8,20.7,17.7,12.7,7.4,3.9
1918,1.5,6.7,9.3,13.3,18.2,21.5,21.5,20.1,17.3,12.8,6.6,2.7
1919,1.8,3.9,7.6,13.7,17.7,19.8,20.4,20.4,17.6,13.1,7.2,3.6
1920,2.9,6.5,7.5,13,18.4,20.1,21.1,19.3,17.9,12.6,6.7,3.2
1921,4.1,5.1,9.5,13.1,18.2,20.2,20.6,20.4,18.4,13,7.4,4.8
1922,2.5,5.7,7.5,13.5,18.3,20.1,21,20.7,17.9,12.6,6.6,4.1
1923,5.3,3.9,6.7,13.3,18.3,21.6,20.6,20,17.8,12.9,6.7,3.1
1924,2.1,4.3,6,13.2,16.3,22.6,21.3,21.1,17.6,12.6,7.1,2.7
1925,2.2,6.7,8.7,14,18.5,21.6,20.7,19.8,17.3,12.9,6.7,2.4
1926,2.4,6.3,6,13.2,17.5,21.6,21.3,20.1,18.2,13.1,7.2,3.7
1927,4,7.1,8.2,13.8,19.7,21.6,21,20.5,17.8,12.6,7.9,1.9
1928,3,4.5,9.2,12.9,17.7,22.7,21.5,19.5,16.8,13.1,6.3,3.6
1929,3,4,7.5,13.7,17.4,21.9,21.1,20.1,18.1,12.9,5.8,4.3
1930,1.7,6.3,7.1,14.2,17.6,21,21,20.1,18.3,12.9,6.3,2.6
1931,1.7,3.7,6.3,12.5,16.9,20.4,20.6,19.8,18.4,13.2,7.1,3.2
1932,1.6,5.3,5.7,13.2,17.7,21.7,20.7,19.8,16.4,12.1,6,2.4
1933,2.6,3.1,7.8,12.7,17.4,20.5,20.7,20.1,18.2,13,7,4.7
1934,2.2,5.3,7.4,13.6,18.2,22,20.7,20.4,17.8,13.1,7.5,3.9
1935,3.4,2.8,8.6,13.4,17,20.6,20.7,20.1,16.9,12.8,7,3.1
1936,1.7,3.7,7.9,13.5,17.2,21.1,20.2,19.5,17.1,12.5,6,2.9
1937,2.2,3.4,6.3,13.7,17.8,20.9,20.7,20.3,17.5,13,6.3,2.9
1938,2.7,5.9,8,13.3,17.3,20.1,19.5,19.5,17.3,13.1,6.1,3.7
1939,2.4,1.8,8,13.7,17.4,21.3,20.5,19,18,12.5,5.9,3.4
1940,1.7,3.8,8.1,13.2,17.6,19.8,21,19.4,17.6,12.8,6.7,4.4
1941,3.1,5.3,6.9,13.3,17.7,20,20.2,19.7,17.7,12.9,6.6,3.3
1942,2.9,4,6.6,13.4,18.2,21.8,21.2,19.8,17.1,12.7,7.5,4
1943,2.9,5.8,8.2,14.2,18.4,21.3,20.4,21.1,17.3,12.7,6.8,3
1944,3.1,6,7.2,13.5,18.1,21.8,20.9,20.2,17.2,12.7,6.7,3
1945,3.7,4.8,8.3,13,17.8,21,20.1,20.1,18,12.3,6.8,3.7
1946,1.8,4.9,8.7,14.1,18.1,21.6,21,20.6,18.2,13,7.1,3.3
1947,1.4,4,7.5,13.1,18.2,21.3,21.8,19.7,16.1,12.9,4,0.2
1948,0.1,5.7,6.6,20.8,25.2,28.2,22.1,20.9,16.8,13,4.7,5.7
1949,3.1,4.6,9.8,12.4,20.1,22.9,22.6,20.1,19.5,13.8,4.6,5
1950,6.5,7.3,9.8,14,17.6,22.4,21.3,20.7,18.4,12.9,5.9,1.9
1951,0,1.8,8.9,13,18.8,24,23.7,21.4,18.5,14.1,8.1,4.1
1952,5.2,2.7,6.1,11.9,18.5,22.5,22.6,22.4,18,10.1,7.5,0.4
1953,0.2,2.5,4.5,14.7,17.7,24.9,23.6,21.5,16,13.1,5,3.3
1954,4.2,5.7,8,16,16.3,22.4,17.4,20.7,18.6,12.9,7.2,0.3
1955,1.4,1,7.2,9.9,15.4,21.1,20.3,19.5,16.6,10,5.2,2
1956,1.1,1.5,6.2,13.3,18.6,21.4,20.5,19.4,15.1,10.5,4.8,0.5
1957,3.9,6.9,5.9,11.2,16.2,20.6,20.9,19.6,18.1,12.2,5.2,2.3
1958,0.4,4,6.5,13.6,18.3,23,22.3,20.8,17.9,12.3,6.8,3.7
1959,4.9,4.6,7.6,21.7,21.8,21.6,25.5,22.8,18.3,12.7,7,3.2
1960,5.1,3.8,7.9,13.4,18.9,24,21.6,20.1,14.3,12.6,7.8,3.2
1961,3.4,2.3,7.9,14.2,18.3,22.5,20.7,19.4,17.5,13,6,3.9
1962,0.9,5.8,7.2,13.1,20.3,23.4,22.2,21.3,19.2,14.6,8.1,4.2
1963,2.8,3.4,6.4,13.1,17.3,19.6,19.6,18.2,15.7,10.9,4.9,2.6
1964,2.2,0.6,4.6,11.2,15.3,17.8,18.8,18.9,17.1,10,5.9,3
1965,3,1.8,4,12.4,14.7,18.3,19.3,18.5,16.7,9.4,8.9,4.2
1966,1.4,0.6,6.6,10.7,15.3,18.5,19.4,19.3,15.7,11.1,5.3,0.2
1967,0.4,2.9,7.6,13.1,14.6,19,19.1,17.4,15.6,9.2,5.9,3
1968,2.7,5.1,6.5,11.6,17.7,20.2,19,18.3,15.2,12.2,4.1,1.3
1969,3.3,4.8,6.6,14.6,19.4,25.4,23.1,22.1,21,15.7,9.6,3.8
1970,3.1,6.6,8.5,14.3,18.2,21.5,22.2,21.6,18.6,11.8,6.5,6.1
1971,3.8,3,8.2,13.4,19.1,21.9,22.3,20.5,19.6,14.8,9.2,5.3
1972,4.6,5.1,10.8,13.7,18.4,21.1,20.8,19.4,18.1,15.4,7.5,5.4
1973,2.4,6.1,7.9,12.1,17.8,20.9,21.5,18.7,18.1,12.3,7.9,1
1974,4.6,2.9,10.7,13.5,18,20.6,20.5,20.2,16.6,12.7,7.5,3.7
1975,1.5,4.5,9.9,13.7,16.6,21.4,19.7,19.8,15.8,12.2,6.6,3.4
1976,2.4,5.3,9.3,13.3,17.2,20.2,19.9,20.3,17.5,11.6,6.3,4.4
1977,4.7,3.5,7.9,12.5,16.8,19.5,21.1,21.6,19.3,13.9,6.4,2.2
1978,1.1,2.5,8.9,13.7,20.6,23.8,22.9,19.9,17.2,12.4,7.9,0
1979,4.3,6.1,10.2,14.8,17.7,20.9,23.6,20.9,18.1,13.5,6.4,5.4
1980,4.5,6.8,10.6,12.4,18.9,25.3,23,21,19.6,12.9,6.3,5.1
1981,4.8,6.8,8.7,13.9,19.1,22.5,22.9,20.8,19.7,14.9,7.4,5.2
1982,4,6.4,11.6,16.9,18.7,23.9,21.8,21.2,20,15,7.4,4.8
1983,4.2,5,8.3,12.1,19.3,24.2,24.6,21.7,20.9,13.1,9.6,4.3
1984,3.8,4.9,9.4,14.7,19.1,20.2,19.1,20.3,18.2,12.9,7.4,7.6
1985,2.2,4.6,10.6,14,20.2,21.5,20,20.7,18.4,13.8,9,3.2
1986,2.2,5.2,7.8,15.1,18.2,20.7,20,20.3,18.4,14.2,8.6,4.9
1987,1.6,4.6,6.4,11.7,16.8,19.8,21.1,19,18,12.8,5.7,3.4
1988,1.2,5.5,8.3,12.2,17.7,19.5,19.6,19.2,18,12.2,6.3,4.1
1989,3.5,6.8,7.6,14.2,19.3,21.3,20.9,20.2,17.6,13,7.2,2.6
1990,4.7,5.1,11,15.7,20,24.9,21.5,20.4,17.4,14.2,7.6,6.1
1991,4.5,5.2,11.6,15.9,21.5,23.5,21.8,21.5,18.5,13.8,7.1,3.7
1992,4.5,5.6,9.9,15.2,18.2,24.1,23.7,21.6,19.2,15,6.1,8
1993,7.6,8,9.1,13.5,16.7,21.6,21.5,21.4,17.8,12,8.4,7.1
1994,4.8,8,12,13.8,21.3,22.7,25.7,22,17.2,11.5,9.7,7.3
1995,3.7,7.5,8.4,14,21.2,22.2,21.6,21.1,18.2,12,8.1,3.6
1996,3.4,7.3,6.7,10,16.5,18.6,19.8,18.3,17.3,12.7,7.3,3.6
1997,2,4,8.4,12.8,18.1,21,21,20.5,18.3,12.6,6.9,2.4
1998,2.1,2.4,6.5,13.3,18.2,22.9,21.5,20.3,18.4,14.6,8,4.1
1999,4.4,7.7,9.2,14.1,18.9,21.6,21.1,20.7,18.2,12.8,7.8,3.4
2000,8.3,11.1,14.4,15.1,23.1,23.2,24.2,20.6,17.8,14.8,10.1,4.7
2001,2.5,6.3,7.9,14.2,18.9,22.5,22.2,20.7,18.2,13,7.6,3.4
2002,4.2,3.1,8.1,14.7,19.4,22.8,20.7,20.8,17.9,13,6.7,3.4
2003,4,6.4,5.6,11.6,15.5,18.9,18.5,18.5,17.6,12.3,8.4,1.2
2004,3.7,3.6,9.5,13.6,18.6,21.5,21.2,19.9,17.4,12.9,6.6,3
2005,4.8,4.5,7.7,13.4,18.2,21.9,21.7,20.1,18.5,13,7.3,3.8
suma,136.4,207.7,350.8,592,789,935,919.7,886.5,778,562.2,303.7,148.9
